"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
" 3";" 8";" 37.50";" 2.83";"prossimo";"9.223471e-02"
" 6";"21";" 28.57";" 2.82";"proprietario";"9.316287e-02"
" 6";"21";" 28.57";" 2.82";"classico";"9.316287e-02"
" 5";"17";" 29.41";" 2.51";"semplice";"1.134270e-01"
" 5";"17";" 29.41";" 2.51";"possibilità";"1.134270e-01"
" 4";"13";" 30.77";" 2.25";"baccalà";"1.338403e-01"
" 2";" 5";" 40.00";" 2.16";"mesa|mese";"1.419025e-01"
" 2";" 5";" 40.00";" 2.16";"linea";"1.419025e-01"
" 2";" 5";" 40.00";" 2.16";"gastronomia";"1.419025e-01"
" 2";" 5";" 40.00";" 2.16";"testa";"1.419025e-01"
" 2";" 5";" 40.00";" 2.16";"favoloso";"1.419025e-01"
" 2";" 5";" 40.00";" 2.16";"bufalo";"1.419025e-01"
" 3";" 9";" 33.33";" 2.08";"perfetto";"1.493569e-01"
" 3";" 9";" 33.33";" 2.08";"certo";"1.493569e-01"
" 3";" 9";" 33.33";" 2.08";"modico";"1.493569e-01"
" 3";" 9";" 33.33";" 2.08";"titolare";"1.493569e-01"
" 5";"18";" 27.78";" 2.05";"grazia";"1.517805e-01"
" 5";"18";" 27.78";" 2.05";"complimento";"1.517805e-01"
" 6";"23";" 26.09";" 2.01";"alto";"1.566452e-01"
"*****";"*";"*";"*";"*";"*"
"3";"6";"50";"5.27";"son";"0.02165236"
"2";"4";"50";"3.46";"e_come";"0.06300034"
"2";"5";"40";"2.16";"etc";"0.14190252"
"*";"*";"*";"*";"*";"*"
"5";"15";"33.33";"3.66";"*RATING_4.6";"0.05582871"
"4";"12";"33.33";"2.85";"*RATING_4.4";"0.09156430"
"3";" 9";"33.33";"2.08";"*RATING_4.8";"0.14935688"
"**";"classe";"7";"**";"";""
"****";"17";"123";"13.82";"****";""
" 8";" 9";" 88.89";"45.94";"pasticceria";"1.218385e-11"
" 8";" 9";" 88.89";"45.94";"panna";"1.218385e-11"
" 7";" 9";" 77.78";"33.35";"torta";"7.705798e-09"
" 8";"13";" 61.54";"27.79";"cioccolato";"1.353359e-07"
" 4";" 4";"100.00";"25.78";"pizzetta";"3.827251e-07"
" 4";" 4";"100.00";"25.78";"pasticcino";"3.827251e-07"
" 7";"11";" 63.64";"25.17";"gelato";"5.253000e-07"
" 3";" 3";"100.00";"19.17";"zucchero";"1.193571e-05"
" 3";" 3";"100.00";"19.17";"crema|creme";"1.193571e-05"
" 3";" 4";" 75.00";"12.99";"acquisto";"3.128229e-04"
" 3";" 4";" 75.00";"12.99";"mignon";"3.128229e-04"
" 3";" 4";" 75.00";"12.99";"maritozzo";"3.128229e-04"
" 4";" 7";" 57.14";"11.70";"bambino";"6.265763e-04"
" 4";" 7";" 57.14";"11.70";"pistacchio";"6.265763e-04"
" 5";"11";" 45.45";"10.15";"crema";"1.443724e-03"
" 4";" 8";" 50.00";" 9.40";"colazione";"2.166408e-03"
" 4";" 8";" 50.00";" 9.40";"ripieno";"2.166408e-03"
" 4";" 8";" 50.00";" 9.40";"artigianale";"2.166408e-03"
" 4";" 8";" 50.00";" 9.40";"vita";"2.166408e-03"
" 3";" 5";" 60.00";" 9.33";"cornetto";"2.252914e-03"
" 3";" 5";" 60.00";" 9.33";"solito";"2.252914e-03"
" 3";" 5";" 60.00";" 9.33";"zabaione";"2.252914e-03"
"10";"35";" 28.57";" 8.94";"anno";"2.795921e-03"
" 4";" 9";" 44.44";" 7.65";"rustico";"5.691608e-03"
" 4";" 9";" 44.44";" 7.65";"biscotto";"5.691608e-03"
" 4";" 9";" 44.44";" 7.65";"bianco";"5.691608e-03"
" 2";" 3";" 66.67";" 7.21";"tartufo";"7.251071e-03"
" 2";" 3";" 66.67";" 7.21";"sinceramente";"7.251071e-03"
" 2";" 3";" 66.67";" 7.21";"latta|latte";"7.251071e-03"
" 2";" 3";" 66.67";" 7.21";"urlo";"7.251071e-03"
" 2";" 3";" 66.67";" 7.21";"tappa";"7.251071e-03"
" 2";" 3";" 66.67";" 7.21";"nonna|nonno";"7.251071e-03"
" 2";" 3";" 66.67";" 7.21";"nocciola";"7.251071e-03"
" 2";" 3";" 66.67";" 7.21";"fondente";"7.251071e-03"
" 2";" 3";" 66.67";" 7.21";"bomba";"7.251071e-03"
" 3";" 6";" 50.00";" 6.93";"norma";"8.468420e-03"
" 3";" 6";" 50.00";" 6.93";"signore";"8.468420e-03"
"10";"43";" 23.26";" 4.94";"dolce";"2.623064e-02"
" 2";" 4";" 50.00";" 4.54";"mattina|mattino";"3.304541e-02"
" 2";" 4";" 50.00";" 4.54";"marito";"3.304541e-02"
" 2";" 4";" 50.00";" 4.54";"maleducato";"3.304541e-02"
" 2";" 4";" 50.00";" 4.54";"gratis";"3.304541e-02"
" 2";" 4";" 50.00";" 4.54";"colore";"3.304541e-02"
" 2";" 4";" 50.00";" 4.54";"salvo";"3.304541e-02"
" 4";"12";" 33.33";" 4.25";"squisito";"3.924080e-02"
" 5";"17";" 29.41";" 4.03";"forno";"4.481465e-02"
" 3";" 8";" 37.50";" 4.03";"facile";"4.475468e-02"
"10";"46";" 21.74";" 3.87";"buonissimo";"4.922262e-02"
" 3";" 9";" 33.33";" 3.10";"pronto";"7.810404e-02"
" 3";" 9";" 33.33";" 3.10";"scarso";"7.810404e-02"
" 3";" 9";" 33.33";" 3.10";"crudo";"7.810404e-02"
" 3";" 9";" 33.33";" 3.10";"fungo";"7.810404e-02"
" 2";" 5";" 40.00";" 3.00";"superiore";"8.332530e-02"
" 2";" 5";" 40.00";" 3.00";"foto";"8.332530e-02"
" 2";" 5";" 40.00";" 3.00";"sublime";"8.332530e-02"
" 2";" 5";" 40.00";" 3.00";"passeggiata";"8.332530e-02"
" 2";" 5";" 40.00";" 3.00";"insapore|insaporo";"8.332530e-02"
" 2";" 5";" 40.00";" 3.00";"entrata";"8.332530e-02"
" 2";" 5";" 40.00";" 3.00";"dettaglio";"8.332530e-02"
" 2";" 5";" 40.00";" 3.00";"pomeriggio";"8.332530e-02"
" 4";"14";" 28.57";" 2.89";"famiglia";"8.936472e-02"
" 3";"10";" 30.00";" 2.39";"fiore";"1.219503e-01"
" 3";"10";" 30.00";" 2.39";"passaggio";"1.219503e-01"
" 2";" 6";" 33.33";" 2.02";"inizio";"1.556260e-01"
" 2";" 6";" 33.33";" 2.02";"spettacolare";"1.556260e-01"
" 2";" 6";" 33.33";" 2.02";"gestione";"1.556260e-01"
" 2";" 6";" 33.33";" 2.02";"scorso";"1.556260e-01"
" 2";" 6";" 33.33";" 2.02";"porta";"1.556260e-01"
" 2";" 6";" 33.33";" 2.02";"aperto";"1.556260e-01"
"*****";"*";"*";"*";"*";"*"
"5";" 7";"71.43";"20.68";"piu";"5.427041e-06"
"3";" 4";"75.00";"12.99";"tutt";"3.128229e-04"
"4";"13";"30.77";" 3.51";"e_che";"6.116452e-02"
"2";" 6";"33.33";" 2.02";"e_quindi";"1.556260e-01"
"*";"*";"*";"*";"*";"*"
"4";"11";"36.36";"5.15";"*RATING_5";"0.0231937"
"4";"11";"36.36";"5.15";"*RATING_4";"0.0231937"
"1";" 2";"50.00";"2.23";"*RATING_2";"0.1349897"
