luce;1;0;0;2;1;0;0
linea;2;1;1;0;0;0;0
lento;1;0;1;1;0;0;0
insapore|insaporo;0;0;2;0;0;2;2
ingresso;2;0;0;1;2;0;0
indicare;1;1;0;2;1;1;0
impressione;0;0;0;2;1;2;0
importante;1;0;1;1;0;0;0
gastronomia;0;1;0;0;1;2;0
fork;1;0;0;1;2;0;0
festeggiare;1;0;1;1;0;0;1
favore;1;2;0;1;0;0;1
fantasia;1;0;1;2;0;1;0
esagerare;2;0;2;0;0;0;2
entrata;1;0;2;0;1;0;1
educare;0;1;0;1;0;1;1
disposizione;1;1;0;1;0;0;0
dispiacere;1;0;3;0;0;1;1
dimensione;1;3;0;0;1;0;0
dettaglio;1;0;0;1;1;1;1
cuocere;0;1;0;1;1;0;0
crostata;0;1;1;2;0;0;1
crocchetta;0;1;1;0;0;0;1
crepes;0;0;0;0;0;1;2
cotto;1;1;0;2;2;0;0
corso;0;1;1;0;1;1;0
confermare;0;1;1;1;0;0;0
conferma;2;0;2;1;1;0;0
comporre;1;0;0;1;1;0;1
colpire;1;0;1;0;1;0;1
cinema;1;3;0;0;0;0;0
chef;0;0;3;2;1;0;0
bravissimi;2;1;0;1;0;1;1
arredo;2;0;2;0;1;1;0
arredamento;1;0;1;0;2;1;0
aperto;0;1;1;1;0;0;3
americano;3;0;0;0;0;0;0
alternativo;1;1;0;0;1;1;1
accettabile;2;0;1;0;0;0;0
zabaione;0;0;0;1;0;0;4
venerdì;3;0;1;0;0;0;0
vegan;0;1;0;0;0;0;2
un_pochino;0;0;1;0;2;0;0
tripadvisor;0;1;0;0;0;2;1
trattato;2;0;0;0;0;0;1
trascorrere;1;0;0;0;2;1;0
tra_cui;0;1;0;1;0;1;0
tipicamente;0;0;2;1;0;0;1
tiepido;2;0;0;0;2;0;0
testa;0;2;2;0;1;0;0
tavolino;2;0;0;0;0;1;0
tardo;2;0;1;0;0;2;0
superbo;0;0;1;1;0;0;1
sufficiente;0;0;2;0;0;0;1
storia;0;0;1;1;0;0;1
spiegazione;2;1;0;0;0;1;0
spazioso;1;1;1;0;0;1;1
spartano;0;0;3;1;0;0;0
sollecitare;1;0;2;0;0;0;0
seguire;1;0;2;0;0;1;0
sbaglio;2;0;1;0;0;0;1
sano;0;0;0;1;0;3;0
salvare;3;0;1;0;0;1;0
sala|sale;2;0;3;0;0;0;0
rovinare;2;1;1;0;0;0;1
rivedere;2;0;1;1;0;0;0
risultato;1;0;1;1;0;0;1
ristorazione;1;0;2;1;0;1;0
