"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"insapore|insaporo";0,317;0,317;0,18;0,317;0,3;0,15;0,244
"ingresso";0,08;0,363;0,346;0,674;0,099;0,363;0,314
"indicare";0,827;0,827;0,3;0,15;0,879;0,827;0,268
"impressione";0,363;0,363;0,346;0,08;0,723;0,08;0,314
"importante";0,315;0,485;0,349;0,315;0,469;0,485;0,44
"gastronomia";0,418;0,502;0,401;0,418;0,545;0,031;0,37
"fork";0,502;0,418;0,401;0,502;0,041;0,418;0,37
"festeggiare";0,502;0,418;0,545;0,502;0,401;0,418;0,629
"favore";0,674;0,08;0,346;0,674;0,346;0,363;0,816
"fantasia";0,674;0,363;0,723;0,08;0,346;0,674;0,314
"esagerare";0,15;0,317;0,18;0,317;0,3;0,317;0,244
"entrata";0,674;0,363;0,099;0,363;0,723;0,363;0,816
"educare";0,418;0,502;0,401;0,502;0,401;0,502;0,629
"disposizione";0,315;0,315;0,469;0,315;0,469;0,485;0,44
"dispiacere";0,827;0,317;0,011;0,317;0,3;0,827;0,977
"dimensione";0,674;0,002;0,346;0,363;0,723;0,363;0,314
"dettaglio";0,674;0,363;0,346;0,674;0,723;0,674;0,816
"cuocere";0,485;0,315;0,469;0,315;0,349;0,485;0,44
"crostata";0,363;0,674;0,723;0,08;0,346;0,363;0,816
"crocchetta";0,485;0,315;0,349;0,485;0,469;0,485;0,416
"crepes";0,485;0,485;0,469;0,485;0,469;0,315;0,016
"cotto";0,827;0,827;0,3;0,15;0,18;0,317;0,268
"corso";0,418;0,502;0,545;0,418;0,545;0,502;0,37
"confermare";0,485;0,315;0,349;0,315;0,469;0,485;0,44
"conferma";0,15;0,317;0,18;0,827;0,879;0,317;0,268
"comporre";0,502;0,418;0,401;0,502;0,545;0,418;0,629
"colpire";0,502;0,418;0,545;0,418;0,545;0,418;0,629
"cinema";0,502;0;0,401;0,418;0,401;0,418;0,37
"chef";0,317;0,317;0,011;0,15;0,879;0,317;0,268
"bravissimi";0,15;0,827;0,3;0,827;0,3;0,827;0,977
"arredo";0,15;0,317;0,18;0,317;0,879;0,827;0,268
"arredamento";0,674;0,363;0,723;0,363;0,099;0,674;0,314
"aperto";0,317;0,827;0,879;0,827;0,3;0,317;0,021
"americano";0;0,485;0,469;0,485;0,469;0,485;0,44
"alternativo";0,674;0,674;0,346;0,363;0,723;0,674;0,816
"accettabile";0,007;0,485;0,349;0,485;0,469;0,485;0,44
"zabaione";0,363;0,363;0,346;0,674;0,346;0,363;0
"venerdì";0;0,418;0,545;0,418;0,401;0,418;0,37
"vegan";0,485;0,315;0,469;0,485;0,469;0,485;0,016
"un_pochino";0,485;0,485;0,349;0,485;0,009;0,485;0,44
"tripadvisor";0,418;0,502;0,401;0,418;0,401;0,031;0,629
"trattato";0,007;0,485;0,469;0,485;0,469;0,485;0,416
"trascorrere";0,502;0,418;0,401;0,418;0,041;0,502;0,37
"tra_cui";0,485;0,315;0,469;0,315;0,469;0,315;0,44
"tipicamente";0,418;0,418;0,041;0,502;0,401;0,418;0,629
"tiepido";0,031;0,418;0,401;0,418;0,041;0,418;0,37
"testa";0,363;0,08;0,099;0,363;0,723;0,363;0,314
"tavolino";0,007;0,485;0,469;0,485;0,469;0,315;0,44
"tardo";0,08;0,363;0,723;0,363;0,346;0,08;0,314
"superbo";0,485;0,485;0,349;0,315;0,469;0,485;0,416
"sufficiente";0,485;0,485;0,009;0,485;0,469;0,485;0,416
"storia";0,485;0,485;0,349;0,315;0,469;0,485;0,416
"spiegazione";0,031;0,502;0,401;0,418;0,401;0,502;0,37
"spazioso";0,674;0,674;0,723;0,363;0,346;0,674;0,816
"spartano";0,418;0,418;0;0,502;0,401;0,418;0,37
"sollecitare";0,315;0,485;0,009;0,485;0,469;0,485;0,44
"seguire";0,502;0,418;0,041;0,418;0,401;0,502;0,37
"sbaglio";0,031;0,418;0,545;0,418;0,401;0,418;0,629
"sano";0,418;0,418;0,401;0,502;0,401;0;0,37
"salvare";0,002;0,363;0,723;0,363;0,346;0,674;0,314
"sala|sale";0,08;0,363;0,003;0,363;0,346;0,363;0,314
"rovinare";0,08;0,674;0,723;0,363;0,346;0,363;0,816
"rivedere";0,031;0,418;0,545;0,502;0,401;0,418;0,37
"risultato";0,502;0,418;0,545;0,502;0,401;0,418;0,629
"ristorazione";0,674;0,363;0,099;0,674;0,346;0,674;0,314
"rispecchiare";0,031;0,418;0,401;0,031;0,401;0,418;0,37
"riservare";0,418;0,418;0,401;0,502;0,041;0,502;0,37
"radicchio";0,485;0,485;0,009;0,315;0,469;0,485;0,44
"raccontare";0,674;0,363;0,723;0,674;0,723;0,674;0,314
"prevedere";0,502;0,502;0,401;0,502;0,545;0,418;0,37
"presentazione";0,315;0,485;0,469;0,485;0,009;0,485;0,44
"precedente";0,315;0,485;0,349;0,485;0,469;0,315;0,44
"pos";0,485;0,315;0,469;0,485;0,349;0,315;0,44
"pomeriggio";0,315;0,485;0,469;0,485;0,469;0,007;0,44
"plastica";0,485;0,485;0,009;0,485;0,469;0,315;0,44
"piede";0,674;0,08;0,346;0,674;0,346;0,363;0,816
"pazzesco";0,502;0,418;0,401;0,502;0,041;0,418;0,37
"parere";0,315;0,485;0,469;0,315;0,349;0,485;0,44
"parcheggio";0,002;0,363;0,346;0,363;0,723;0,674;0,314
"pajata";0,363;0,674;0,723;0,002;0,346;0,363;0,314
"paio";0,363;0,674;0,723;0,674;0,723;0,363;0,816
"pacare";0,363;0;0,723;0,363;0,346;0,363;0,314
"orario";0,315;0,485;0,469;0,485;0,469;0,315;0,416
"musicista";0,315;0,485;0,469;0,485;0,009;0,485;0,44
"mix";0,485;0,485;0,349;0,315;0,349;0,485;0,44
"migliore_che";0,674;0,363;0,723;0,08;0,346;0,363;0,816
"metro";0,08;0,674;0,723;0,363;0,346;0,674;0,314
"mattatoio";0,418;0,418;0;0,418;0,401;0,502;0,37
"mano";0,418;0,418;0,545;0,502;0,545;0,502;0,37
"maleducato";0,502;0,418;0,545;0,418;0,401;0,418;0,062
"limone";0,502;0,418;0,401;0,502;0,401;0,418;0,062
"leggere";0,485;0,485;0,009;0,485;0,469;0,485;0,416
"inserire";0,363;0,674;0,346;0,002;0,346;0,674;0,314
"includere";0,502;0,418;0,401;0,031;0,545;0,418;0,37
"impossibile";0,502;0,418;0,401;0,502;0,545;0,502;0,37
"immergere";0,363;0,363;0,346;0,674;0,723;0,08;0,816
"gratis";0,502;0,418;0,401;0,418;0,401;0,502;0,062
"gradire";0,674;0,674;0,723;0,363;0,099;0,363;0,314
"giustificare";0,502;0,418;0,401;0,502;0,041;0,418;0,37
"felice";0,418;0,418;0,545;0,502;0,401;0,418;0,062
"favoloso";0,418;0,502;0,401;0,502;0,401;0,502;0,629
"esprimere";0,502;0,418;0,545;0,418;0,401;0,502;0,629
"doc";0,363;0,363;0,723;0,002;0,723;0,363;0,314
"divanetti";0;0,418;0,401;0,418;0,545;0,418;0,37
"disporre";0,502;0,502;0,401;0,502;0,545;0,418;0,37
"disponibilità";0,08;0,363;0,346;0,363;0,099;0,363;0,816
"di_una_volta";0,485;0,485;0,469;0,485;0,469;0,315;0,016
"dessert";0,363;0,363;0,723;0,08;0,099;0,363;0,314
"degustare";0,418;0,418;0,401;0,418;0,545;0,418;0,001
"dedicare";0,363;0,363;0,003;0,674;0,723;0,363;0,314
"cotoletta";0,485;0,485;0,349;0,315;0,469;0,485;0,416
"costringere";0,502;0,502;0,545;0,418;0,401;0,502;0,37
"contenuto";0,418;0,418;0,545;0,502;0,401;0,502;0,629
"comune";0,418;0,418;0,401;0,418;0,041;0,502;0,629
"colore";0,502;0,418;0,401;0,418;0,545;0,418;0,062
"cipolla";0,363;0,363;0,723;0,674;0,346;0,08;0,816
"centrifugo";0,418;0,418;0,401;0,418;0,401;0;0,37
"cattivo";0,485;0,485;0,469;0,315;0,469;0,315;0,416
