"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"limitato";-0,488;1,008;6,739;-0,488;-0,523;-0,488;-0,597
"libero";1,008;1,008;0,877;-0,488;-0,523;-0,488;-0,597
"liberare";1,008;1,008;0,877;-0,488;-0,523;-0,488;-0,597
"legno";0,45;-0,656;-0,704;-0,656;4,196;0,45;-0,803
"latta|latte";-0,488;-0,488;-0,523;-0,488;0,877;-0,488;5,756
"largo";0,45;-0,656;0,366;-0,656;-0,704;0,45;0,234
"insipido";-0,656;-0,656;0,366;0,45;0,366;0,45;-0,803
"innovativo";0,45;-0,656;0,366;-0,656;-0,704;0,45;0,234
"guardare";-0,488;1,008;-0,523;-0,488;-0,523;1,008;0,661
"grana";-0,488;7,324;-0,523;1,008;-0,523;-0,488;-0,597
"giudizio";0,45;0,45;0,366;0,45;-0,704;-0,656;-0,803
"giudeo";-0,656;-0,656;0,366;13,194;-0,704;-0,656;-0,803
"giornata";-0,488;-0,488;0,877;-0,488;-0,523;7,324;-0,597
"genere";-0,656;-0,656;0,366;4,629;-0,704;0,45;-0,803
"gelaterie";-0,656;-0,656;-0,704;-0,656;-0,704;-0,656;21,362
"fretta";-0,656;-0,656;0,366;13,194;-0,704;-0,656;-0,803
"freschezza";1,008;-0,488;-0,523;-0,488;-0,523;-0,488;5,756
"forma";-0,488;-0,488;-0,523;7,324;-0,523;-0,488;0,661
"filo";1,008;-0,488;-0,523;1,008;0,877;-0,488;-0,597
"fettuccina";-0,656;-0,656;-0,704;26,144;-0,704;-0,656;-0,803
"evento";4,629;-0,656;-0,704;0,45;0,366;-0,656;-0,803
"estremamente";0,45;4,629;-0,704;-0,656;0,366;-0,656;-0,803
"essenziale";-0,488;1,008;-0,523;1,008;0,877;-0,488;-0,597
"esposizione";-0,488;-0,488;-0,523;-0,488;6,739;-0,488;0,661
"eseguire";-0,656;0,45;0,366;4,629;-0,704;-0,656;-0,803
"entusiasmare";-0,488;-0,488;-0,523;19,436;-0,523;-0,488;-0,597
"enorme";1,008;1,008;0,877;-0,488;-0,523;-0,488;-0,597
"duro";-0,656;0,45;-0,704;0,45;-0,704;0,45;0,234
"divertente";-0,488;-0,488;-0,523;1,008;0,877;-0,488;0,661
"direttore";26,144;-0,656;-0,704;-0,656;-0,704;-0,656;-0,803
"digeribile";-0,656;13,194;-0,704;0,45;-0,704;-0,656;-0,803
