"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"1";"28";"3.57";"-2.52";"ogni";"0.11256748"
"*";"*";"*";"*";"*";"*"
"0";"15";"0";"-2.37";"*RATING_4.6";"0.1234745"
"**";"classe";"6";"**";"";""
"****";"20";"123";"16.26";"****";""
"2";"44";" 4.55";"-6.90";"ristorante";"0.00859757"
"2";"43";" 4.65";"-6.54";"dolce";"0.01052626"
"3";"46";" 6.52";"-5.12";"cena";"0.02368014"
"1";"29";" 3.45";"-4.57";"antipasto";"0.03245105"
"1";"29";" 3.45";"-4.57";"menù";"0.03245105"
"1";"27";" 3.70";"-4.01";"caldo";"0.04534751"
"1";"27";" 3.70";"-4.01";"piacevole";"0.04534751"
"0";"17";" 0.00";"-3.83";"nuovo";"0.05033176"
"0";"17";" 0.00";"-3.83";"lungo";"0.05033176"
"0";"17";" 0.00";"-3.83";"acqua";"0.05033176"
"0";"17";" 0.00";"-3.83";"salato";"0.05033176"
"1";"26";" 3.85";"-3.73";"via";"0.05339807"
"1";"26";" 3.85";"-3.73";"menu";"0.05339807"
"1";"26";" 3.85";"-3.73";"conto";"0.05339807"
"2";"32";" 6.25";"-3.18";"vino";"0.07440722"
"0";"14";" 0.00";"-3.07";"caffè";"0.07986706"
"0";"14";" 0.00";"-3.07";"carta";"0.07986706"
"0";"13";" 0.00";"-2.82";"cioccolato";"0.09294603"
"0";"13";" 0.00";"-2.82";"noto";"0.09294603"
"2";"30";" 6.67";"-2.68";"medio";"0.10149550"
"0";"12";" 0.00";"-2.58";"squisito";"0.10808505"
"0";"12";" 0.00";"-2.58";"verdura";"0.10808505"
"0";"12";" 0.00";"-2.58";"ragazza|ragazzo";"0.10808505"
"0";"12";" 0.00";"-2.58";"presente";"0.10808505"
"0";"12";" 0.00";"-2.58";"sala";"0.10808505"
"0";"12";" 0.00";"-2.58";"prenotazione";"0.10808505"
"0";"12";" 0.00";"-2.58";"ordine";"0.10808505"
"1";"21";" 4.76";"-2.46";"giorno";"0.11686462"
"1";"21";" 4.76";"-2.46";"esperienza";"0.11686462"
"2";"29";" 6.90";"-2.44";"euro";"0.11801577"
